waypoint,    light, oncoming, Left-traffic,      None,    forward,       left,      right, Best Action,Match
    right,    green,  forward,    right,0,-0.269,0,1.43,      right,Yes
     left,    green,  forward,     left,-3.432,0.464,-12.337,-0.799,    forward,No
     left,      red,    right,     left,0,-8.168,0,-0.511,       None,No
    right,      red,    right,     None,1.117,-6.525,0,1.613,      right,Yes
    right,    green,    right,  forward,0,-0.089,0,1.77,      right,Yes
     left,      red,    right,    right,1.092,-6.165,0,0.219,       None,No
    right,    green,     None,     left,-2.549,-0.096,0,1.746,      right,Yes
     left,    green,    right,    right,0,-0.159,-11.746,0,      right,No
  forward,      red,     None,     None,1.249,-10.02,-9.827,-0.188,       None,No
    right,    green,     left,    right,0,-0.332,0,1.755,      right,Yes
    right,      red,     None,  forward,2.115,-24.328,-23.938,-11.525,       None,No
  forward,      red,     left,     None,1.529,-10.421,-10.312,0.187,       None,No
     left,      red,     left,  forward,2.044,-24.282,0,-12.429,       None,No
    right,      red,    right,     left,0,-5.789,0,1.671,      right,Yes
     left,      red,     None,     None,1.855,-27.229,-10.636,-0.843,       None,No
  forward,    green,     left,     None,-0.528,2.242,-0.329,-0.203,    forward,Yes
     left,    green,     left,  forward,-0.278,-0.455,1.51,-0.298,       left,Yes
    right,    green,    right,     None,0,-0.39,-11.928,2.163,      right,Yes
    right,      red,     left,  forward,1.609,-23.41,0,-12.204,       None,No
     left,    green,     None,    right,-4.524,-0.164,1.312,-0.004,       left,Yes
  forward,      red,    right,     left,2.253,-6.09,0,0.377,       None,No
    right,      red,    right,  forward,0,-23.827,0,-12.414,       None,No
     left,    green,     left,     left,-0.248,-0.118,2.299,-0.38,       left,Yes
  forward,    green,    right,    right,0,1.716,0,0,    forward,Yes
     left,    green,  forward,    right,-3.018,0.33,-11.917,-0.529,    forward,No
     left,      red,     left,     None,1.697,-9.002,-8.444,-0.498,       None,No
    right,    green,     None,  forward,-3.016,-0.632,-0.715,1.876,      right,Yes
     left,    green,     left,     None,0.057,-0.537,2.375,0,       left,Yes
     left,      red,  forward,     None,1.743,-9.72,-27.736,-0.38,       None,No
     left,    green,     left,    right,0,-0.108,0,-0.161,       None,No
     left,      red,     None,    right,2.678,-15.751,0,-0.394,       None,No
  forward,    green,    right,  forward,0,2.285,0,0,    forward,Yes
    right,    green,     left,     left,0,-0.419,-0.007,2.462,      right,Yes
     left,      red,     left,     left,2.292,-5.475,0,0,       None,No
    right,      red,     left,    right,0,-8.391,0,2.24,      right,Yes
  forward,      red,  forward,  forward,2.531,-23.766,-24.017,-11.543,       None,No
     left,      red,  forward,    right,2.065,-5.471,-5.694,-0.156,       None,No
    right,    green,  forward,     left,0,-0.209,0,2.08,      right,Yes
  forward,      red,  forward,     left,2.042,-6.531,-6.143,-0.273,       None,No
  forward,    green,  forward,    right,0,2.071,-11.575,0,    forward,Yes
  forward,      red,    right,    right,2.213,-6.568,0,-0.435,       None,No
    right,      red,     None,    right,0,-8.731,-24.382,2.141,      right,Yes
     left,    green,  forward,     None,-5.055,-0.091,-16.831,-0.62,    forward,No
  forward,      red,    right,  forward,1.558,-24.291,-24.579,-11.582,       None,No
  forward,    green,     None,    right,-2.63,1.202,0,-0.456,    forward,Yes
  forward,      red,     None,    right,1.349,-8.625,0,0.312,       None,No
    right,    green,     None,     None,-4.172,-0.212,0.037,1.827,      right,Yes
  forward,      red,  forward,     None,1.549,-10.418,-16.76,0.456,       None,No
  forward,      red,     None,     left,1.542,-5.941,-20.464,-0.059,       None,No
  forward,    green,  forward,  forward,-2.436,1.69,-12.591,-0.906,    forward,Yes
    right,      red,     None,     left,1.014,-8.022,0,1.94,      right,Yes
  forward,    green,     left,    right,0.047,1.604,-0.279,0,    forward,Yes
    right,    green,  forward,  forward,-2.568,0,0,1.998,      right,Yes
  forward,    green,     None,     None,-4.365,1.868,0.282,-0.571,    forward,Yes
  forward,      red,  forward,    right,1.445,-6.169,0,0.254,       None,No
    right,    green,     None,    right,0,-0.719,0,1.396,      right,Yes
  forward,      red,     left,    right,1.393,-8.909,-24.365,0.162,       None,No
  forward,      red,     None,  forward,1.862,-33.522,-24.395,-19.043,       None,No
  forward,    green,     left,     left,-0.551,2.571,0,-0.374,    forward,Yes
    right,    green,    right,     left,0,-0.187,0,1.833,      right,Yes
     left,      red,     None,  forward,1.402,-32.815,-23.706,-19.499,       None,No
  forward,      red,    right,     None,1.458,-6.432,0,-0.567,       None,No
     left,    green,    right,  forward,-2.973,-0.374,-12.502,-0.081,      right,No
    right,      red,     None,     None,2.233,-17.097,-8.096,1.225,       None,No
  forward,    green,  forward,     None,-4.376,2.427,-19.879,-0.346,    forward,Yes
  forward,      red,     left,  forward,2.26,-24.218,0,-12.277,       None,No
     left,      red,     None,     left,1.623,-25.769,-34.256,-0.414,       None,No
  forward,    green,     left,  forward,0,1.402,-0.216,-0.982,    forward,Yes
    right,      red,  forward,  forward,1.749,-24.26,0,-11.618,       None,No
    right,      red,     left,     None,2.031,-8.951,-7.922,0.654,       None,No
    right,    green,  forward,     None,-3.221,-0.376,-11.458,1.999,      right,Yes
  forward,    green,     None,  forward,-3.246,1.526,-0.159,0.089,    forward,Yes
    right,      red,  forward,     left,0,-5.42,0,1.782,      right,Yes
  forward,    green,    right,     None,-4.28,1.648,0,0,    forward,Yes
  forward,    green,  forward,     left,0,1.637,-17.256,0,    forward,Yes
    right,    green,     left,  forward,0,-0.497,0,1.797,      right,Yes
     left,      red,  forward,     left,1.484,-6.551,-26.63,-0.173,       None,No
     left,    green,     None,  forward,-5.06,0.214,1.944,-0.312,       left,Yes
  forward,      red,     left,     left,2.026,-9.083,-8.957,-0.32,       None,No
     left,      red,    right,  forward,2.053,-24.286,0,-11.525,       None,No
     left,    green,    right,     left,-2.617,-0.667,-12.507,-0.49,      right,No
    right,      red,     left,     left,1.405,-6.047,0,2.557,      right,Yes
     left,      red,     left,    right,2.339,-6.292,0,-0.527,       None,No
     left,      red,  forward,  forward,2.348,-24.006,0,-12.465,       None,No
    right,      red,  forward,     None,1.182,0,0,1.398,      right,Yes
  forward,    green,     None,     left,-2.579,2.047,-0.424,0.163,    forward,Yes
     left,    green,    right,     None,-4.277,-0.104,-12.092,-0.73,    forward,No
     left,    green,     None,     None,-4.52,-0.05,1.899,-0.266,       left,Yes
    right,    green,    right,    right,0,-0.034,0,1.352,      right,Yes
  forward,    green,    right,     left,0,2.485,0,0,    forward,Yes
    right,      red,  forward,    right,0,-6.551,-6.167,0,      right,Yes
     left,    green,  forward,  forward,-2.964,0.161,-12.335,-0.529,    forward,No
     left,    green,     None,     left,-5.221,-0.472,1.943,0,       left,Yes
    right,    green,     left,     None,-0.573,-0.136,-0.25,2.049,      right,Yes
     left,      red,    right,     None,1.978,-8.016,-24.04,-0.354,       None,No
    right,      red,    right,    right,0,-23.495,0,1.363,      right,Yes
